O_score,C_score,E_score,A_score,N_score,Numerical_Aptitude,Spatial_Aptitude,Perceptual_Aptitude,Abstract_Reasoning,Verbal_Reasoning,Career
5.45,8.67,3.45,5.34,4.23,9.23,4.56,6.78,7.89,6.12,Accountant
8.78,5.67,4.56,6.45,4.23,5.12,8.45,7.89,6.34,6.01,Graphic Designer
6.12,6.78,9.34,7.56,5.01,6.23,4.23,6.45,6.67,8.45,Salesperson
9.12,8.78,4.23,5.67,4.56,7.89,5.34,6.45,9.34,7.67,Data Analyst
6.45,7.56,5.67,9.12,4.23,5.34,4.01,6.23,5.78,8.67,Teacher
8.45,7.01,5.34,5.45,4.56,6.45,9.12,7.67,8.89,4.23,Architect
4.01,8.23,6.67,9.34,5.12,4.56,4.45,7.45,5.78,7.78,Nurse
8.78,7.89,5.67,6.01,4.67,8.45,4.23,5.34,9.23,6.45,Software Developer
8.78,7.45,5.34,8.45,6.01,4.56,4.01,4.23,6.67,9.23,Psychologist
6.78,6.45,8.45,7.67,4.56,3.45,3.12,9.34,3.67,4.23,Chef
6.23,7.34,8.78,7.45,5.67,5.12,4.34,4.67,6.01,7.89,Graphic Designer
7.89,9.23,5.01,7.45,6.34,4.78,4.01,4.56,5.67,8.67,Nurse
9.34,3.56,7.23,6.78,5.45,2.89,2.34,9.12,5.23,4.01,Graphic Designer
5.23,7.12,7.34,8.45,6.45,4.67,3.12,3.67,4.34,7.56,Human Resources Manager
4.56,6.78,5.67,3.23,2.89,8.12,8.67,4.01,7.45,3.45,Construction Engineer
8.78,7.34,5.23,6.45,6.01,4.67,3.56,4.01,4.45,9.12,Journalist
9.45,8.01,4.67,5.56,4.01,7.78,7.45,6.67,9.12,6.34,Astronomer
6.78,8.67,5.23,6.45,4.01,9.12,2.89,3.56,3.23,4.45,Nurse
8.78,7.67,3.67,6.45,5.34,5.67,4.56,6.23,8.45,7.12,Biologist
6.67,6.01,8.45,8.23,4.34,3.78,3.45,6.78,4.56,7.45,Real Estate Agent
6.12,7.01,8.67,7.89,5.34,4.23,3.67,4.01,4.45,7.45,Real Estate Agent
9.12,7.45,4.23,5.67,3.78,7.01,6.45,6.78,8.78,6.01,IT Support Specialist
8.45,7.89,5.67,7.12,6.45,5.12,3.45,4.23,4.56,9.34,Lawyer
6.34,8.12,2.89,6.78,4.78,7.45,3.23,3.56,4.23,7.01,IT Support Specialist
8.78,3.78,7.67,7.01,6.01,3.45,2.78,8.45,5.67,4.23,Lawyer
6.45,7.23,8.12,7.45,5.78,4.67,3.01,3.67,4.45,7.67,Lawyer
7.89,7.67,4.01,5.23,4.56,9.45,3.45,6.78,8.78,5.34,Biomedical Engineer
7.01,3.78,8.45,6.78,5.45,3.56,5.12,9.23,3.01,4.23,Biomedical Engineer
6.67,8.23,5.12,6.01,4.45,9.12,3.34,3.78,4.23,7.45,Data Analyst
7.12,9.45,4.23,6.78,4.56,8.67,3.23,3.67,4.01,6.45,Data Analyst
7.56,7.01,4.67,9.23,6.34,3.45,2.89,4.45,3.12,6.67,Social Worker
5.67,8.78,6.67,6.34,4.34,9.23,3.01,3.78,3.45,4.01,Social Worker
8.78,7.67,4.01,5.23,4.56,7.12,3.45,6.78,8.45,5.34,HR Recruiter
6.45,6.67,7.01,8.12,5.56,4.01,3.23,3.78,4.23,7.45,HR Recruiter
6.78,8.45,5.12,6.01,4.56,7.89,3.45,3.67,4.23,7.34,Elementary School Teacher
6.45,7.67,5.34,9.23,4.45,3.78,2.89,3.01,3.56,8.12,Elementary School Teacher
6.01,7.34,4.01,5.23,4.67,8.78,8.23,6.78,7.45,5.45,Electrical Engineer
8.45,7.78,5.67,7.34,6.45,5.12,3.23,3.78,4.45,8.12,Financial Auditor
6.78,8.67,4.45,6.01,4.78,8.34,3.23,3.67,4.12,7.23,Financial Auditor
9.34,4.45,8.45,6.45,7.12,3.23,3.01,6.67,6.01,5.23,Musician
5.67,8.78,7.12,6.45,6.01,4.56,3.67,4.23,5.34,8.45,Musician
8.45,6.45,7.01,7.56,5.67,3.78,2.89,3.12,3.45,8.12,Musician
8.78,7.67,4.45,5.12,6.01,5.34,4.01,6.78,8.34,7.45,Mechanical Engineer
7.78,7.34,5.23,9.12,6.01,4.67,3.23,3.67,4.34,8.45,Electrical Engineer
6.78,7.23,3.89,5.12,4.67,8.89,8.45,6.12,7.78,5.45,Mechanical Engineer
8.78,7.67,4.01,5.12,4.67,7.23,6.78,6.12,8.45,5.45,Forensic Scientist
6.67,7.34,8.45,7.89,5.45,3.78,2.89,3.12,3.45,8.12,Social Media Manager
9.12,7.45,4.01,5.23,4.67,7.01,6.45,6.78,8.78,5.45,Forensic Scientist
8.67,7.78,5.67,4.23,6.45,4.45,3.34,3.78,8.23,7.45,Social Media Manager
8.78,7.67,4.45,5.12,6.01,5.34,4.01,6.78,8.34,7.45,Geologist
5.12,8.89,4.34,5.45,4.78,8.45,7.23,6.78,7.67,5.67,Game Developer
9.12,7.45,5.45,5.23,4.67,7.01,6.45,6.78,8.78,4.01,Wildlife Biologist
6.78,7.34,3.67,5.23,4.67,7.89,8.45,6.12,4.34,5.45,Wildlife Biologist
6.67,7.78,3.45,6.01,5.45,8.67,3.12,3.78,4.45,7.45,Game Developer
4.34,8.89,4.78,6.45,5.45,7.67,8.45,6.78,5.12,7.23,Airline Pilot
8.67,8.12,4.01,5.23,4.67,7.45,7.23,6.12,6.78,5.45,Urban Planner
8.45,4.23,7.67,7.23,6.45,3.78,3.45,8.12,5.67,4.45,Airline Pilot
7.78,7.34,5.23,9.12,6.01,4.67,3.23,3.67,4.34,8.45,Physical Therapist
6.78,7.67,3.78,4.89,4.34,8.56,9.23,6.01,8.12,5.45,Electrical Engineer
7.23,8.34,5.45,9.12,6.01,4.67,3.23,3.67,4.34,7.01,Graphic Designer
6.67,8.45,3.45,6.12,5.23,7.78,3.12,3.78,4.45,7.45,Graphic Designer
7.23,7.67,4.23,5.45,4.89,9.23,8.67,6.45,8.12,5.67,Electrical Engineer
6.01,7.78,5.23,9.34,6.45,4.67,3.23,3.67,4.34,8.45,Nurse
7.67,6.12,8.78,7.45,6.45,3.45,2.89,3.12,3.67,8.23,IT Project Manager
8.89,7.67,4.45,5.12,6.01,5.34,4.01,6.78,8.45,7.45,IT Project Manager
6.78,8.45,7.34,5.45,6.01,4.67,3.45,3.78,4.23,7.78,IT Project Manager
7.45,7.12,4.67,8.67,6.34,3.45,2.89,4.45,3.12,6.78,Video Game Tester
8.78,4.23,7.67,7.45,6.45,3.78,3.45,8.34,5.67,4.45,Video Game Tester
7.01,7.78,5.23,9.12,6.01,4.67,3.23,3.67,4.34,8.45,Marriage Counselor
8.67,8.12,4.01,5.23,4.67,7.45,7.23,6.12,6.78,5.45,Marriage Counselor
9.23,7.67,4.23,5.12,4.67,7.23,3.67,6.78,8.78,5.45,Biomedical Researcher
6.67,8.45,3.45,6.12,5.45,7.78,3.12,3.78,4.45,7.45,Database Administrator
6.67,7.34,8.67,7.89,5.45,3.78,2.89,3.12,3.45,8.12,Public Relations Specialist
7.78,7.34,5.23,9.12,6.01,4.67,3.23,3.67,4.34,8.45,Database Administrator
8.67,7.67,6.01,7.45,6.45,4.45,2.89,3.12,4.67,8.23,Public Relations Specialist
7.01,7.78,5.23,9.12,6.01,4.67,3.23,3.67,4.34,8.45,Database Administrator
7.23,7.67,4.23,5.45,4.89,9.34,8.67,6.45,8.12,5.67,Electrical Engineer
7.23,8.23,8.67,6.45,6.01,7.67,4.23,4.56,5.12,5.45,Banker
8.78,7.67,4.45,5.12,6.01,5.34,4.01,6.78,8.45,7.45,Tax Collector
7.45,7.78,6.01,8.67,6.45,5.12,4.23,4.56,5.34,8.23,Lawyer
6.78,8.45,3.45,6.45,5.45,8.12,3.12,3.78,4.45,7.67,Software Developer
6.01,8.45,5.23,9.34,6.45,4.67,3.23,3.67,4.34,7.78,Nurse
7.67,8.78,5.45,7.45,6.01,4.45,3.45,3.78,4.23,8.45,Technical Writer
8.67,7.78,4.45,5.12,6.01,5.34,4.01,6.45,8.23,7.45,Fashion Designer
8.78,8.34,7.45,6.45,5.45,4.45,2.89,3.12,4.67,7.67,Product Manager
8.78,4.23,7.67,7.45,6.45,3.78,3.45,8.34,5.67,4.45,Fashion Designer
6.01,7.78,5.23,9.34,6.45,4.67,3.23,3.67,4.34,8.45,Graphic Designer
8.78,7.67,4.45,5.12,6.01,5.34,4.01,6.45,8.34,7.45,Nurse
6.78,7.67,8.45,8.23,6.45,3.78,2.89,3.12,3.45,5.45,Sports Coach
6.78,8.45,3.45,6.45,5.45,8.12,3.12,3.78,4.45,7.67,Tax Collector
6.01,7.67,5.23,9.12,6.45,4.67,3.23,3.67,4.34,8.34,Nurse
5.23,7.67,4.67,8.56,8.12,4.23,3.12,3.45,3.78,6.45,Diplomat
7.67,9.23,4.23,7.34,6.45,8.67,3.78,4.45,5.67,8.12,accountant
6.01,8.45,3.78,4.01,4.67,7.67,8.23,6.78,7.45,4.23,Sports Coach
6.01,7.78,5.23,9.34,6.45,4.67,3.23,3.67,4.34,8.45,Sports Coach
8.67,4.23,7.67,7.45,6.45,3.78,3.45,8.23,5.67,4.45,Film Director
7.67,8.23,6.01,9.12,5.45,4.45,2.89,3.12,4.67,8.34,Diplomat
2.67,8.78,7.67,8.45,6.45,4.45,2.89,3.12,4.67,5.45,Police Officer
7.45,8.67,5.23,7.67,6.01,4.67,3.23,3.67,4.34,8.23,Police Officer
6.78,8.45,3.45,6.45,5.45,8.12,3.12,3.78,4.45,7.67,Tax Collector
7.67,8.23,6.01,9.12,5.45,4.45,2.89,3.12,4.67,8.34,Tax Collector
2.67,8.78,7.67,8.45,6.45,4.45,2.89,3.12,4.67,5.45,Nurse
6.78,8.67,4.23,5.23,4.67,8.23,7.67,6.01,7.45,5.45,Civil Engineer
7.34,7.67,4.23,5.23,4.67,9.34,8.45,6.78,8.12,5.67,Robotics Engineer
7.34,7.67,4.23,5.45,4.89,9.12,8.67,6.45,8.23,5.67,Robotics Engineer
